loss,accuracy,elapsed_time
2.2746699035167692,0.1485,12.19272494316101
2.18163338303566,0.2089,7.3719189167022705
2.0575625896453857,0.3027,6.38292670249939
1.9541424810886383,0.3324,7.460893869400024
1.9169418275356294,0.3431,6.324361324310303
1.8770019173622132,0.3562,7.507953643798828
1.8558456927537919,0.3625,6.563454866409302
1.8458099752664565,0.3717,7.427811861038208
1.8098891973495483,0.3741,6.731590747833252
1.8026368170976639,0.381,7.290072441101074
1.8021032333374023,0.3687,6.8050172328948975
1.8262726455926894,0.3691,7.020638465881348
1.8240315109491347,0.3682,6.797663927078247
1.8703056037425996,0.3627,6.963583946228027
1.8172453433275222,0.3658,7.0608038902282715
1.851284810900688,0.3604,6.851258277893066
1.8470918774604796,0.3582,7.297525405883789
1.8301144391298294,0.3647,6.628776788711548
1.8495613634586334,0.3508,7.48413610458374
1.8797091722488404,0.3529,6.3245251178741455
1.8860692888498307,0.351,7.679399251937866
1.886431920528412,0.3525,6.3675267696380615
1.8868694365024568,0.352,7.633360862731934
1.9173386871814728,0.3497,6.415905475616455
1.892992302775383,0.3592,7.555212736129761
1.8942301243543624,0.3571,6.38591194152832
1.927027526497841,0.3466,7.378585338592529
1.940910232067108,0.3515,6.511664152145386
1.9309169858694077,0.3514,7.437186002731323
1.938204675912857,0.3517,6.368027687072754
1.9539226204156876,0.35,7.287360668182373
1.9106413573026657,0.3507,6.494096517562866
1.9550821244716645,0.3451,7.255887508392334
1.9726890087127686,0.3495,6.376682281494141
1.9461525082588196,0.3441,7.431209564208984
1.946117040514946,0.3405,6.228404998779297
1.9737149685621262,0.3408,7.314262390136719
1.9582537978887558,0.3361,6.47067403793335
1.9451439529657364,0.3466,7.290797710418701
1.9149931609630584,0.3557,6.412550449371338
1.9763820350170136,0.3482,7.4075446128845215
1.9147060006856917,0.3561,6.28836989402771
1.9206590622663497,0.3478,7.439872741699219
1.9081534415483474,0.3454,6.179708480834961
1.8998891860246658,0.3556,7.484543085098267
1.9521472483873368,0.3461,6.208903789520264
1.956787222623825,0.3427,7.297449350357056
1.935453289747238,0.3439,6.344282627105713
1.9461717784404755,0.3428,7.5496180057525635
1.9147948384284974,0.3464,6.585476875305176
1.9005167007446289,0.349,7.284817218780518
1.9111382842063904,0.3472,6.7299134731292725
1.8911436945199966,0.3577,7.14874005317688
1.9458132654428482,0.3441,6.732747316360474
1.9052254647016524,0.3517,7.001729249954224
1.9400233298540115,0.3511,6.8676981925964355
1.9624114036560059,0.3437,7.038938045501709
1.937798836827278,0.3449,7.17380428314209
1.9526682108640672,0.3498,6.823529481887817
1.9392212629318237,0.3511,7.465990781784058
1.964262256026268,0.3497,6.5507190227508545
1.9651963889598847,0.3453,7.620630264282227
1.9633130818605422,0.3462,6.499555587768555
2.0137255042791367,0.3444,7.581904888153076
1.9443725496530533,0.3547,6.4118287563323975
1.9556231826543808,0.3446,7.482356786727905
1.9931344151496888,0.3437,6.435428619384766
1.9539221733808518,0.3451,7.5565831661224365
2.0048156440258027,0.3392,6.4263293743133545
1.9926199644804001,0.3487,7.39106297492981
2.032793238759041,0.3307,6.3743791580200195
1.9641175538301467,0.3463,7.388866662979126
1.9627161830663682,0.3471,6.322680950164795
2.0115512132644655,0.3409,7.290018558502197
1.9963788866996766,0.3361,6.15451979637146
1.9802690625190735,0.3439,7.354010581970215
1.998340231180191,0.3358,6.30904483795166
1.9627789109945297,0.3485,7.451399326324463
2.0174431949853897,0.3343,6.416002988815308
1.9703250974416733,0.3458,7.3785459995269775
2.053686815500259,0.3329,6.340616464614868
1.9968368113040924,0.3394,7.311391592025757
2.0492377191782,0.3315,6.312684535980225
2.0658457279205322,0.3419,7.25200080871582
2.001763516664505,0.345,6.427108287811279
2.077300226688385,0.3333,7.233941078186035
2.023671469092369,0.3416,6.444700479507446
2.0351369798183443,0.3351,7.364523410797119
2.0250939637422563,0.3387,6.540221929550171
1.9829777270555495,0.3507,7.273527145385742
2.0333997189998625,0.345,6.638923406600952
1.9780173599720001,0.3519,7.1210808753967285
1.9821454524993896,0.3562,6.845772981643677
1.9852359890937805,0.3522,6.932318210601807
2.028929966688156,0.3368,6.965155839920044
2.010115718841553,0.3502,6.950680494308472
2.0125970900058747,0.3461,6.940090179443359
2.0380576819181444,0.3397,6.737011432647705
2.023945102095604,0.3418,6.829594612121582
2.0397900730371474,0.3446,6.859190464019775
