loss,accuracy,elapsed_time
2.280589646100998,0.1256,7.110375165939331
2.1423093378543854,0.1876,7.388308048248291
2.045350727438927,0.2297,6.359232425689697
1.971057543158531,0.289,7.534426927566528
1.9142202377319335,0.2969,6.3827760219573975
1.8531482696533204,0.343,7.572098970413208
1.8044655710458755,0.3703,6.473650932312012
1.7509702026844025,0.3834,7.485483884811401
1.7047547727823258,0.3992,6.56057071685791
1.6807376533746718,0.3997,7.634589433670044
1.6532352268695831,0.414,6.430292844772339
1.621993100643158,0.421,7.681310653686523
1.6093479156494142,0.4256,6.587961196899414
1.5920948565006257,0.4314,7.621442079544067
1.576693171262741,0.4331,6.523648738861084
1.5506146550178528,0.438,7.589323282241821
1.5612566083669663,0.4429,6.778274774551392
1.52226981818676,0.4515,7.585202693939209
1.5142582833766938,0.4536,6.771534204483032
1.5144076257944108,0.4583,7.4640953540802
1.5045433968305588,0.4595,7.053312540054321
1.4910918027162552,0.4639,7.299056529998779
1.4751103073358536,0.4706,7.008334636688232
1.4784208327531814,0.4736,7.0599329471588135
1.4528498232364655,0.4784,7.448284864425659
1.4623009711503983,0.4745,6.704978704452515
1.4427498012781144,0.4783,7.605027914047241
1.4306978046894074,0.484,6.865681171417236
1.426349937915802,0.485,7.605984449386597
1.4249148488044738,0.4832,6.400392770767212
1.4211469352245332,0.4903,7.614580154418945
1.4015391945838929,0.4945,6.655252695083618
1.4116482526063918,0.496,7.754607677459717
1.3896613270044327,0.5016,6.504525184631348
1.3954622060060502,0.4971,7.506546974182129
1.3847964882850647,0.5043,6.3770599365234375
1.375867173075676,0.5063,7.963437557220459
1.3783638387918473,0.5064,6.6068243980407715
1.3764829248189927,0.5085,7.76674485206604
1.3595090419054032,0.5138,6.5641930103302
1.367230385541916,0.513,7.706465244293213
1.3569261342287064,0.5163,6.7832605838775635
1.35327205657959,0.5182,7.823123455047607
1.3455039978027343,0.5195,6.750786304473877
1.3445310145616531,0.5225,7.427975177764893
1.3431976050138474,0.5223,7.322268009185791
1.3406830698251724,0.5216,7.161077499389648
1.3288233011960984,0.5194,7.559007406234741
1.3314982622861862,0.5209,6.796469688415527
1.3407625734806061,0.5248,7.797592401504517
1.3365908682346344,0.5279,6.682363510131836
1.3345885664224624,0.526,7.879767656326294
1.3293000400066375,0.5275,6.575619697570801
1.3236082822084427,0.5281,7.594604730606079
1.3161087661981583,0.5323,6.509971618652344
1.3214832454919816,0.5317,7.702242374420166
1.3298106223344803,0.5317,6.617385149002075
1.3291565209627152,0.535,7.747922658920288
1.3216486603021622,0.5346,6.565030574798584
1.315434956550598,0.533,7.722141981124878
1.3217225581407548,0.5362,6.521303176879883
1.3027391403913497,0.5337,7.76421046257019
1.3156893849372864,0.5389,6.654238700866699
1.3047047853469849,0.5389,7.440783500671387
1.3006592333316802,0.5398,6.982600212097168
1.2956388622522355,0.5387,7.408658504486084
1.285831242799759,0.5393,7.155014991760254
1.2946838214993477,0.5381,7.037714958190918
1.2885524332523346,0.54,7.865205764770508
1.311146280169487,0.5409,6.71682333946228
1.290711724758148,0.5442,7.8618834018707275
1.2781885787844658,0.5455,6.726093769073486
1.2932161003351212,0.5421,7.705960988998413
1.2807174503803254,0.5449,6.614793062210083
1.2805175065994263,0.5467,7.820202112197876
1.2909627348184585,0.5475,6.7063493728637695
1.2887699872255325,0.549,7.760098457336426
1.275361806154251,0.548,6.735639572143555
1.2813855499029159,0.5484,7.7587809562683105
1.2682924956083297,0.5496,6.823384761810303
1.2780992060899734,0.549,7.524771690368652
1.2783555746078492,0.5479,6.965310096740723
1.2782515048980714,0.5502,7.3032965660095215
1.2742160350084304,0.55,6.964400053024292
1.2706623792648315,0.5524,7.2095959186553955
1.2658075213432312,0.5501,7.226114749908447
1.2642533361911774,0.5506,7.024920701980591
1.2892173141241074,0.5487,7.881385564804077
1.265202781558037,0.548,6.619052171707153
1.2827459275722504,0.5467,7.673004627227783
1.2653716802597046,0.5484,6.49108362197876
1.2635114580392837,0.5512,7.902733564376831
1.2607106149196625,0.5525,6.45001745223999
1.2577833831310272,0.5534,7.7644829750061035
1.2624540001153945,0.5543,6.581502437591553
1.2578023105859757,0.5527,7.765935659408569
1.2683908015489578,0.5535,6.608793020248413
1.2668636292219162,0.5525,7.688356399536133
1.2630925476551056,0.5536,6.707507371902466
1.268111103773117,0.5538,7.823246002197266
