loss,accuracy,elapsed_time
1.1876,0.6893,69.2858235836029
0.5984,0.8389,67.2798216342926
0.4716,0.8617,67.05635643005371
0.4594,0.8706,67.38065195083618
0.3997,0.8854,66.4753851890564
0.3953,0.8877,251.97777199745178
0.3776,0.8893,67.32131576538086
0.3612,0.8957,85.35755324363708
0.3428,0.8981,138.15103578567505
0.3402,0.8986,268.96684432029724
0.3431,0.898,139.45726346969604
0.3441,0.8972,270.56277298927307
0.3339,0.8999,129.81445860862732
0.3258,0.9074,139.94885683059692
0.3282,0.908,270.5424976348877
0.305,0.9108,94.0821750164032
0.3053,0.9088,272.5275526046753
0.3079,0.9133,268.8308455944061
0.3117,0.9129,232.25788617134094
0.3007,0.9108,181.17798447608948
0.3112,0.9121,267.4291503429413
0.3022,0.916,269.8781213760376
0.2861,0.9169,138.10571241378784
0.2824,0.9181,268.4075758457184
0.2856,0.9159,273.4425835609436
0.2882,0.9192,267.70712184906006
0.2613,0.9237,84.05857682228088
0.261,0.9261,265.62895011901855
0.2749,0.9236,269.77089047431946
0.2815,0.9258,267.4679617881775
0.2718,0.9205,268.01780915260315
0.2662,0.9247,109.88958430290222
0.2732,0.9266,268.0742280483246
0.2513,0.9295,84.7183129787445
0.244,0.9322,265.3034334182739
0.2699,0.9294,267.21304512023926
0.26,0.9302,265.45128774642944
0.2681,0.9274,267.21271538734436
0.2671,0.9282,267.3078796863556
0.2803,0.9294,203.63015723228455
0.2462,0.9302,101.12442922592163
0.2682,0.9303,264.6585440635681
0.2509,0.9319,109.95227241516113
0.2336,0.931,101.04419994354248
0.2575,0.9309,267.11682510375977
0.2637,0.9294,271.74246096611023
0.2462,0.9333,95.90149426460266
0.2415,0.9316,242.52165484428406
0.2503,0.931,267.2691285610199
0.2304,0.9363,151.82398176193237
0.2375,0.9379,267.80787682533264
0.2311,0.9376,263.2195291519165
0.2032,0.9421,66.33064460754395
0.224,0.9382,265.7620816230774
0.2202,0.9381,268.13034200668335
0.2354,0.9382,120.02683901786804
0.228,0.9385,264.0748288631439
0.2444,0.9421,179.84982085227966
0.235,0.9387,267.0640482902527
0.2123,0.9443,91.39783787727356
0.2056,0.9454,100.42029404640198
0.205,0.9449,270.18704104423523
0.1964,0.946,187.9765980243683
0.2343,0.9409,267.88110756874084
0.2133,0.9437,74.81160593032837
0.2232,0.944,268.6666066646576
0.2762,0.9422,267.57870054244995
0.2154,0.9457,100.64847183227539
0.1915,0.95,127.20312070846558
0.2159,0.9435,266.59810090065
0.2088,0.9484,155.01719903945923
0.211,0.9461,269.22073340415955
0.2026,0.9463,255.36706113815308
0.2055,0.9463,119.68338298797607
0.224,0.945,269.0759608745575
0.2094,0.946,208.62161302566528
0.2062,0.9466,235.02638983726501
0.2356,0.9432,266.34668922424316
0.252,0.9406,267.12914776802063
0.2336,0.9461,92.46499729156494
0.24,0.948,266.37905263900757
0.2046,0.9494,127.96241188049316
0.211,0.9487,271.24220633506775
0.2151,0.9485,268.8919851779938
0.2014,0.9491,173.02474451065063
0.1916,0.9535,76.4410765171051
0.2365,0.9463,269.4988965988159
0.2027,0.9513,102.01692247390747
0.1908,0.9531,109.88994908332825
0.2152,0.9502,265.2571291923523
0.2053,0.9498,265.5120885372162
0.1881,0.9525,92.2768874168396
0.1987,0.9477,268.73875856399536
0.2019,0.9509,268.53530502319336
0.1989,0.9503,271.6709454059601
0.1995,0.9536,271.91031670570374
0.2013,0.9531,140.66187500953674
0.1884,0.9526,274.0893061161041
0.194,0.9513,271.2933180332184
0.185,0.9527,102.25559139251709
0.2118,0.9522,269.8549213409424
0.2226,0.952,264.2379491329193
0.2032,0.9547,109.4133710861206
0.2372,0.9503,266.5538365840912
0.2098,0.9525,267.7659409046173
0.3025,0.9463,268.23927760124207
0.241,0.9502,224.7249927520752
0.2555,0.9505,268.1039845943451
0.3001,0.9441,272.2919797897339
0.2973,0.9434,271.8082072734833
0.3164,0.9445,271.5136749744415
0.3117,0.9451,274.99755930900574
0.2801,0.95,102.93930268287659
0.3093,0.9456,270.82763957977295
0.2751,0.9484,84.85698795318604
0.2558,0.9505,92.77116894721985
0.2444,0.9495,267.31328225135803
0.2484,0.9484,144.24895024299622
0.2564,0.9457,266.65353560447693
0.2596,0.9463,272.428049325943
0.2233,0.953,93.36237287521362
0.294,0.9497,273.9890773296356
0.2544,0.9502,75.91584801673889
0.2717,0.9494,271.824910402298
0.2681,0.9482,274.1289083957672
0.2595,0.9464,237.62094736099243
0.2744,0.9477,269.01791763305664
0.3022,0.9452,268.3963372707367
0.2815,0.9473,184.48121118545532
0.2457,0.9517,105.14058876037598
0.2769,0.9458,275.57088565826416
0.2816,0.9467,275.0470094680786
0.2992,0.9467,273.79040598869324
0.2518,0.9518,92.17147397994995
0.2884,0.9476,269.2795431613922
0.2828,0.949,268.4041383266449
0.2592,0.951,183.84745836257935
0.2619,0.95,91.61033010482788
0.2656,0.9496,266.6940052509308
0.2416,0.952,84.62154006958008
0.254,0.9489,273.0711421966553
0.2445,0.951,271.8700473308563
0.2717,0.9477,272.258287191391
0.2716,0.9453,94.25138092041016
0.2592,0.9479,147.4608612060547
0.2843,0.9499,276.8438124656677
0.2678,0.9498,104.77299237251282
0.2833,0.9474,280.3132076263428
0.2967,0.9496,276.07252764701843
0.2938,0.9463,273.7874400615692
